UR	kam.n.man.n	Stress	Max	Ident(voice)	Onset	Agree(voice)	*Complex Onset	*Complex Coda	Align-L	Align-R	*[+consonantal, -voice]	Dep	Nocoda	*CC
	kam.ʔnɨ.ma.nɨn	na	0	0	0	2!	1	0	0	0	2	3	2	2
	kaŋ+.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.man.ŋ+	na	0	0	0	0	0	0	0	1!	1	0	4	3
	xam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.nɨ.məː.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	t͡ɕam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	km.nɨ.ma.nɨn	na	1!	0	0	1	1	1	0	0	1	2	2	2
	k͡xʰam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	k͡pʰam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kamə.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	3!	1	0
	k+͡x+am.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.nɨ.ma.nɰ̠n	na	0	0	0	0	1!	1	0	0	1	2	2	3
	kɑm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	k̠ʰam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.nɨ.ma.nɨnʔ	na	0	0	0	1!	0	1	0	1	2	3	2	2
	kam.n.maŋ.n	na	1!	0	0	0	0	0	0	0	1	1	4	3
	kab͡β.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.ma.nɨm	na	0	0	0	0	0	0	0	1!	1	2	2	1
	kæm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨə.ma.nɨn	na	0	0	0	0	0	0	0	0	1	3!	2	1
	kam.ŋɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kɛm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.mɘn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kɑːm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.mæː.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.nɨŋ˗	na	0	0	0	0	0	0	0	1!	1	2	2	1
	kam.nʔɨ.ma.nɨn	na	0	0	0	1!	1	0	0	0	2	3	2	2
	kam.man.n	na	1!	0	0	0	0	0	0	0	1	0	3	2
